央视频道,#genre#
龙详时代,http://10.10.10.5:1228/stv.php?id=lungxiangtime_twn
EYETV 旅游,http://10.10.10.5:1228/stv.php?id=eyetvtravel_twn
靖天卡通台,http://10.10.10.5:1228/stv.php?id=jingtiancartoon_twn
EYETV 戏剧,http://10.10.10.5:1228/stv.php?id=eyetvxiju_twn
卫视中文台 Star Movies Chinese,http://10.10.10.5:1228/stv.php?id=weishichinese_twn
东森幼幼 Yoyo TV,http://10.10.10.5:1228/stv.php?id=yoyo_twn
卫视电影台,http://10.10.10.5:1228/stv.php?id=weishimovie_twn
美亚电影,http://10.10.10.5:1228/stv.php?id=meiyamovie_twn
爱尔达影剧台,http://10.10.10.5:1228/stv.php?id=eltayingju_twn
爱尔达综合台,http://10.10.10.5:1228/stv.php?id=eltazonghe_twn
星卫电影,http://10.10.10.5:1228/stv.php?id=xingwei_movie
AFC 亚洲旅游台,http://10.10.10.5:1228/stv.php?id=asiatravel_twn


电影频道,#genre#
HBOHITS,http://10.10.10.5:1228/stv.php?id=hbohit_twn
Cinemax,http://10.10.10.5:1228/stv.php?id=Cinemax
Animax,http://10.10.10.5:1228/stv.php?id=Animax
Movies Now HD,http://10.10.10.5:1228/stv.php?id=moviesnow_raj
Star Movies HD,http://10.10.10.5:1228/stv.php?id=starmovies_raj
HBO Family,http://10.10.10.5:1228/stv.php?id=Hbofamily
Hits,http://10.10.10.5:1228/stv.php?id=Hits
Warner TV,http://10.10.10.5:1228/stv.php?id=WarnerTV
HBO HD,http://10.10.10.5:1228/stv.php?id=Hbo
HBO Signature,http://10.10.10.5:1228/stv.php?id=Hbosignature
HBO Hits,http://10.10.10.5:1228/stv.php?id=Hbohitshd
SCM,http://10.10.10.5:1228/stv.php?id=Weishimovie
Dreamworks,http://10.10.10.5:1228/stv.php?id=Dreamworks
Thrill,http://10.10.10.5:1228/stv.php?id=Thrill
Hits Movie,http://10.10.10.5:1228/stv.php?id=Hitsmovie
One,http://10.10.10.5:1228/stv.php?id=One
tvN Movie,http://10.10.10.5:1228/stv.php?id=Tvnmovie
Celestial Classic,http://10.10.10.5:1228/stv.php?id=Celestial2
Celestial Movies HD,http://10.10.10.5:1228/stv.php?id=Celestialindo
Axn HD,http://10.10.10.5:1228/stv.php?id=Axn
Paramount Network,http://10.10.10.5:1228/stv.php?id=Paramountnetwork
Astrol Kplus,http://10.10.10.5:1228/stv.php?id=Kplus
Rock Actions,http://10.10.10.5:1228/stv.php?id=Rockaction
Rock Entertainment,http://10.10.10.5:1228/stv.php?id=Rockentertain

纪录频道,#genre#
NatgeoHD,http://10.10.10.5:1228/stv.php?id=natgeohd_twn
NatGeoWild HD,http://10.10.10.5:1228/stv.php?id=natgeowild_twn
AnimalPlanet,http://10.10.10.5:1228/stv.php?id=animalplanet_twn
Discovery Asia,http://10.10.10.5:1228/stv.php?id=discoverytwn_twn
CI,http://10.10.10.5:1228/stv.php?id=ci_twn
Discovery HD,http://10.10.10.5:1228/stv.php?id=discoveryhd_twn
NatGeo HD,http://10.10.10.5:1228/stv.php?id=Natgeo
Fashion TV,http://10.10.10.5:1228/stv.php?id=fashiontv_twn
History,http://10.10.10.5:1228/stv.php?id=History
BBC Earth HD,http://10.10.10.5:1228/stv.php?id=bbcearth_twn
BBC Earth Lifestyle,http://10.10.10.5:1228/stv.php?id=bbclifestyle_twn
NatGeo Wild HD,http://10.10.10.5:1228/stv.php?id=Natgeowild
Animal Planet Eng,http://10.10.10.5:1228/stv.php?id=AnimalPlanet
TLC,http://10.10.10.5:1228/stv.php?id=Tlc
Foodnetwork Hd,http://10.10.10.5:1228/stv.php?id=Foodnetwork
HGTV,http://10.10.10.5:1228/stv.php?id=HGTV

新闻频道,#genre#
Skynews,http://10.10.10.5:1228/stv.php?id=skynews_twn
ABC News,http://10.10.10.5:1228/stv.php?id=abcnews_glo
CBS HD,http://10.10.10.5:1228/stv.php?id=cbshd_glo
CBSN HD,http://10.10.10.5:1228/stv.php?id=cbsn_glo
France 24,http://10.10.10.5:1228/stv.php?id=france24_twn
DW Deutsch,http://10.10.10.5:1228/stv.php?id=dw_twn
NHK World,http://10.10.10.5:1228/stv.php?id=nhkworld_japan
Fox News,http://10.10.10.5:1228/stv.php?id=foxnews_twn
CGTN,http://10.10.10.5:1228/stv.php?id=CGTN
CNN International,http://10.10.10.5:1228/stv.php?id=Cnn
CNN,http://10.10.10.5:1228/stv.php?id=cnn_twn
CNBC,http://10.10.10.5:1228/stv.php?id=cnbc_twn
CNA,http://10.10.10.5:1228/stv.php?id=cna
BBC World News,http://10.10.10.5:1228/stv.php?id=bbcnews_twn
BBC World News,http://10.10.10.5:1228/stv.php?id=Bbcnews
Bloomberg News,http://10.10.10.5:1228/stv.php?id=bloomberg_twn
Al-Jazeera,http://10.10.10.5:1228/stv.php?id=aljazeera_twn

新加坡频道,#genre#
Channel 5,http://10.10.10.5:1228/stv.php?id=Channel5HD
Channel 8,http://10.10.10.5:1228/stv.php?id=Channel8HD
Suria,http://10.10.10.5:1228/stv.php?id=Suria
Channel U,http://10.10.10.5:1228/stv.php?id=ChannelU
